model,rmse,rmse_std,n_estimators,learning_rate,num_leaves,min_data_in_leaf,feature_fraction,bagging_fraction,bagging_freq,lambda_l1,lambda_l2,rank_test_score,timestamp,depth,l2_leaf_reg,bagging_temperature,random_strength,iterations
CatBoost,1148.3128081973632,30.710719045381715,,0.060392513383270466,,,,,,,,41.0,2025-08-17T15:20:08,9.0,1.6720733846948712,0.06337497047276774,1.9799204647798905,1012.0
LightGBM,1148.5204460464756,31.039810169442095,2246.0,0.026704538561282007,65.0,94.0,0.6468268065710423,0.6571966728211344,1.0,0.6695710993898991,1.0402424463730096,19.0,2025-08-17T14:36:01,,,,,
CatBoost,1150.7664214868587,30.256273354113254,,0.0809132454421346,,,,,,,,42.0,2025-08-17T15:20:08,7.0,2.212048662075401,0.11483682473920354,1.2212400848832652,1319.0
CatBoost,1151.583495325201,27.145769554739545,,0.03820098556793014,,,,,,,,43.0,2025-08-17T15:20:08,8.0,2.5586103389777413,0.24848913981446574,1.487892585145354,2277.0
CatBoost,1151.9278313079853,34.901349102853544,,0.1209835592372052,,,,,,,,44.0,2025-08-17T15:20:08,6.0,5.2320392465727865,0.955236312723479,0.30934428176647244,1200.0
CatBoost,1152.1680859114038,31.848741968602727,,0.11119464907251027,,,,,,,,45.0,2025-08-17T15:20:08,5.0,3.6563287698676703,0.7205160613914648,0.1246827250224829,1698.0
CatBoost,1153.5322809245222,34.04407886684443,,0.11365948490553052,,,,,,,,46.0,2025-08-17T15:20:08,4.0,2.3879358631470904,0.22009721408109706,0.42536156868245256,2072.0
CatBoost,1156.1005925023164,29.998751763880144,,0.040506510486807895,,,,,,,,47.0,2025-08-17T15:20:08,9.0,4.343216099622155,0.9293759891275858,1.1135257860278596,2415.0
CatBoost,1157.1675010541949,29.250241401464233,,0.03620015329054484,,,,,,,,48.0,2025-08-17T15:20:08,9.0,3.4187747096620638,0.2699112223921949,1.0796855578163869,2490.0
CatBoost,1157.3677758870238,27.90704821141789,,0.08445278501822573,,,,,,,,49.0,2025-08-17T15:20:08,7.0,3.9342055901043955,0.74543947418433,0.8633190924593588,1594.0
CatBoost,1158.2645032879327,31.132845260493582,,0.08066094549272405,,,,,,,,50.0,2025-08-17T15:20:08,6.0,3.975244898502103,0.33927124589619095,1.1388870355270007,2074.0
CatBoost,1162.79797812153,33.97060027321026,,0.08786100167875686,,,,,,,,51.0,2025-08-17T15:20:08,6.0,4.580895373664761,0.5990293647773265,1.6535976556181566,2277.0
CatBoost,1163.7641578255348,32.691366958768086,,0.044195278405729344,,,,,,,,52.0,2025-08-17T15:20:08,8.0,1.8182797143285225,0.16426579793099294,1.6291494404627642,2402.0
CatBoost,1164.8411133245813,29.633979129536876,,0.06942090969767223,,,,,,,,53.0,2025-08-17T15:20:08,9.0,2.7443413327149764,0.9295291442478258,1.6612388155754583,1235.0
CatBoost,1165.3813534368828,30.519933366679464,,0.08838676218455799,,,,,,,,54.0,2025-08-17T15:20:08,7.0,4.812293428703453,0.8767656367617495,0.6841634974318149,1805.0
CatBoost,1168.2107898452027,27.69724998683884,,0.08276785097229432,,,,,,,,55.0,2025-08-17T15:20:08,9.0,2.7941524206175123,0.8772005408131083,0.7848902148452708,1295.0
CatBoost,1169.596456576332,31.857449280364136,,0.11528302271243551,,,,,,,,56.0,2025-08-17T15:20:08,7.0,4.100363779642567,0.5334610919763215,1.7877851661019153,1419.0
LightGBM,1170.1985817692148,29.853944492942823,1883.0,0.06936246860680143,85.0,187.0,0.8904365334890646,0.9903408317850139,1.0,0.25836517835299677,0.9542234337224443,20.0,2025-08-17T14:36:01,,,,,
CatBoost,1170.6502355361113,29.356745520719706,,0.06774267188548899,,,,,,,,57.0,2025-08-17T15:20:08,9.0,5.847352166376845,0.8655071258939803,1.6341441418985598,1880.0
