model,rmse,rmse_std,n_estimators,learning_rate,num_leaves,min_data_in_leaf,feature_fraction,bagging_fraction,bagging_freq,lambda_l1,lambda_l2,rank_test_score,timestamp,max_depth,min_child_weight,subsample,colsample_bytree,reg_alpha,reg_lambda,gamma,depth,l2_leaf_reg,bagging_temperature,random_strength,iterations
LightGBM,1127.35815003244,31.76596678482387,2074.0,0.024904233951977463,35.0,111.0,0.7390476857930735,0.6127218725940661,1.0,0.09650869688048065,0.5529345216392709,8.0,2025-08-15T19:31:27,,,,,,,,,,,,
CatBoost,1128.0306502398066,32.63752171092827,,0.038081132925185286,,,,,,,,27.0,2025-08-16T12:50:27,,,,,,,,6.0,2.7119181801677326,0.41341644929526145,1.5163700221530747,2376.0
CatBoost,1128.718142430534,32.47187464242861,,0.06969557030347125,,,,,,,,28.0,2025-08-16T12:50:27,,,,,,,,6.0,5.137689477834371,0.733614380561402,1.5386097872826796,1509.0
LightGBM,1128.8138663565273,32.22857810674843,2253.0,0.030092816733799693,43.0,187.0,0.6291052025456774,0.9287440237161425,1.0,0.1172838573536204,0.6159914024308715,9.0,2025-08-15T19:31:27,,,,,,,,,,,,
CatBoost,1129.2084343093811,34.024235305059705,,0.06570914306131846,,,,,,,,29.0,2025-08-16T12:50:27,,,,,,,,5.0,2.731608842945018,0.2390553321972656,1.0194484935033963,1834.0
LightGBM,1129.2402405300077,31.842162614810277,1317.0,0.04665293725648763,81.0,191.0,0.6976502088991097,0.6673164168691722,0.0,0.3230689368464327,0.07787069653077787,10.0,2025-08-15T19:31:27,,,,,,,,,,,,
CatBoost,1129.3793825923183,32.015623012086884,,0.05271488008802405,,,,,,,,30.0,2025-08-16T12:50:27,,,,,,,,5.0,3.0677455076267575,0.12188609333694755,0.36229869906936063,2374.0
CatBoost,1129.4949029026852,38.072071796763304,,0.089019602059595,,,,,,,,31.0,2025-08-16T12:50:27,,,,,,,,4.0,3.396772200689259,0.31372769119409605,1.2127418888667512,1832.0
XGBoost,1129.8138899197943,30.549651568366176,,0.033573178289188765,,,,,,,,2.0,2025-08-16T07:57:59,3.0,4.447633755157806,0.8706053543108986,0.6862700609590868,0.5271083761861258,0.4726372867849902,0.6512329770414921,,,,,
LightGBM,1129.916253692243,32.66301179538915,2363.0,0.048923055923121406,90.0,191.0,0.798070764044508,0.6137554084460873,1.0,0.31284848605859267,0.2186833053456748,11.0,2025-08-15T19:31:27,,,,,,,,,,,,
CatBoost,1131.1772812551678,32.05907911964296,,0.04133196654214978,,,,,,,,32.0,2025-08-16T12:50:27,,,,,,,,6.0,4.458090277846597,0.618051674287186,1.2663792520269281,2575.0
CatBoost,1133.0619074582562,30.48613252014543,,0.030278989951571664,,,,,,,,33.0,2025-08-16T12:50:27,,,,,,,,7.0,5.470954373320591,0.1918673247187429,0.6467431242310415,2914.0
CatBoost,1134.049309307104,28.742789481819166,,0.038020280098045,,,,,,,,34.0,2025-08-16T12:50:27,,,,,,,,8.0,4.687168843607428,0.5122219208126745,1.3604555584167066,1844.0
CatBoost,1134.860381983655,36.387590605863586,,0.07961202306310032,,,,,,,,35.0,2025-08-16T12:50:27,,,,,,,,4.0,5.938927601074436,0.13643975255673313,1.3902891080951876,2858.0
CatBoost,1136.005634329172,35.18778220973589,,0.09904305754489323,,,,,,,,36.0,2025-08-16T12:50:27,,,,,,,,4.0,5.7141557070663085,0.8088834616363281,0.15283371887610286,2120.0
LightGBM,1138.047207625064,32.05145899303561,2955.0,0.02199053947134274,97.0,166.0,0.7394663949166917,0.6384706204365683,0.0,0.5527501904819728,0.4640824155606449,12.0,2025-08-15T19:31:27,,,,,,,,,,,,
CatBoost,1138.536717839845,32.59573132245875,,0.07164046130107055,,,,,,,,37.0,2025-08-16T12:50:27,,,,,,,,4.0,1.853323792749992,0.07462981433708171,1.5653920814882984,2517.0
LightGBM,1138.9968915934928,32.13343053466511,2039.0,0.028468249688051582,32.0,147.0,0.8545614389784044,0.9203797178729599,1.0,0.45869363333754665,0.15420042388069222,13.0,2025-08-15T19:31:27,,,,,,,,,,,,
LightGBM,1139.3586086117025,32.50961537785596,1835.0,0.02970239915992583,86.0,142.0,0.6968639753109703,0.9212559025519583,0.0,0.5058446644748636,0.7602356529130736,14.0,2025-08-15T19:31:27,,,,,,,,,,,,
CatBoost,1140.382684961116,30.170183220579865,,0.04804544982925196,,,,,,,,38.0,2025-08-16T12:50:27,,,,,,,,7.0,3.700059573022553,0.8800790875614583,1.3017547380943884,2013.0
CatBoost,1140.7377028446126,33.390359809847,,0.05307348064147345,,,,,,,,39.0,2025-08-16T12:50:27,,,,,,,,6.0,4.935633013008021,0.9748346527811119,0.7424141877799966,2641.0
CatBoost,1141.6403225954787,27.204522659872065,,0.03249315792609996,,,,,,,,40.0,2025-08-16T12:50:27,,,,,,,,9.0,4.621694085643705,0.5783869170064091,0.5483213331196117,2005.0
CatBoost,1142.0158042895278,38.03342573662816,,0.10954487089782063,,,,,,,,41.0,2025-08-16T12:50:27,,,,,,,,4.0,4.295177671018404,0.8021305581275875,0.21073506790561192,2040.0
CatBoost,1142.1654640914553,32.5767960455255,,0.05570581415825847,,,,,,,,42.0,2025-08-16T12:50:27,,,,,,,,6.0,3.8251099642950805,0.6888853020500907,1.7466458317216154,2390.0
LightGBM,1142.1787627767317,33.30267112860862,1928.0,0.06934480650466235,107.0,176.0,0.6532740500894999,0.6304801518396652,1.0,0.7598399306335393,0.870863410066032,15.0,2025-08-15T19:31:27,,,,,,,,,,,,
CatBoost,1142.8751331619976,33.163965173440666,,0.11320526683462175,,,,,,,,43.0,2025-08-16T12:50:27,,,,,,,,4.0,1.326830787821926,0.4875711936733843,0.06722720036656527,1595.0
LightGBM,1144.1871339766683,32.29900548756271,1087.0,0.060045033336682624,54.0,150.0,0.608233797718321,0.9879639408647978,1.0,0.16987128854262093,0.21818996064852073,16.0,2025-08-15T19:31:27,,,,,,,,,,,,
CatBoost,1144.2555703808837,27.522317301348938,,0.043862753333035506,,,,,,,,44.0,2025-08-16T12:50:27,,,,,,,,8.0,1.3230833992204307,0.042633209287032736,0.7428171353002815,1496.0
CatBoost,1145.0276409616704,29.54715147331156,,0.04369645878319248,,,,,,,,45.0,2025-08-16T12:50:27,,,,,,,,7.0,5.434624501046348,0.645810812655206,0.5718135784783203,2567.0
CatBoost,1145.6319242889572,34.71583303936463,,0.09995682630020476,,,,,,,,46.0,2025-08-16T12:50:27,,,,,,,,4.0,1.608809555626374,0.4782340230480723,1.0122151096935017,2102.0
CatBoost,1145.8829787796808,31.493042795181115,,0.05892005037384507,,,,,,,,47.0,2025-08-16T12:50:27,,,,,,,,7.0,2.6650095652909895,0.6694869551981901,1.988278722442335,1769.0
LightGBM,1146.5178499669062,30.743560387380317,2275.0,0.030020086003840252,91.0,127.0,0.8233616998943221,0.7696888036987906,1.0,0.2642020232152788,0.5213422133859256,17.0,2025-08-15T19:31:27,,,,,,,,,,,,
CatBoost,1146.5851009588519,31.42921158783903,,0.088950485878132,,,,,,,,48.0,2025-08-16T12:50:27,,,,,,,,6.0,3.8328768108570928,0.3910427630581744,1.0023059983640195,1560.0
LightGBM,1146.7201096964386,30.067591130209472,1020.0,0.07405991023634516,48.0,151.0,0.9768807022739411,0.8253152871382157,1.0,0.24369101533869655,0.11720653680766063,18.0,2025-08-15T19:31:27,,,,,,,,,,,,
CatBoost,1147.618340776974,27.829081781464765,,0.05084567197184958,,,,,,,,49.0,2025-08-16T12:50:27,,,,,,,,9.0,4.939509941461325,0.8646861920335402,1.2169728253195826,1459.0
CatBoost,1148.433031930872,32.08605208657012,,0.10230935252598365,,,,,,,,50.0,2025-08-16T12:50:27,,,,,,,,6.0,5.955632159106519,0.7472195877420377,1.4799727733712236,1601.0
LightGBM,1148.5204460464756,31.039810169442095,2246.0,0.026704538561282007,65.0,94.0,0.6468268065710423,0.6571966728211344,1.0,0.6695710993898991,1.0402424463730096,19.0,2025-08-15T19:31:27,,,,,,,,,,,,
