model,rmse,rmse_std,n_estimators,learning_rate,num_leaves,min_data_in_leaf,feature_fraction,bagging_fraction,bagging_freq,lambda_l1,lambda_l2,rank_test_score,timestamp,max_depth,min_child_weight,subsample,colsample_bytree,reg_alpha,reg_lambda,gamma,depth,l2_leaf_reg,bagging_temperature,random_strength,iterations
LightGBM,1108.5089559669818,33.66329807800341,1064.0,0.021876368808943274,39.0,107.0,0.7579526072702278,0.7173952698872152,2.0,0.6523691427638674,0.8482288126171406,3.0,2025-08-14T09:54:25,,,,,,,,,,,,
CatBoost,1113.9367737572927,33.82193485206341,,0.07690847704404435,,,,,,,,11.0,2025-08-14T10:34:48,,,,,,,,5.0,2.7219186602211662,0.3515401611342188,0.8255871012135045,1060.0
CatBoost,1115.078581301353,32.059625485060025,,0.0626807259757939,,,,,,,,12.0,2025-08-14T10:34:48,,,,,,,,6.0,4.595229525921227,0.297121715623175,1.1328092805937944,1097.0
CatBoost,1115.1662077817152,31.663006984664143,,0.051130812011755095,,,,,,,,13.0,2025-08-14T10:34:48,,,,,,,,6.0,2.8984620408363346,0.5902949425148077,0.5361272816457525,1260.0
CatBoost,1116.1002584928644,32.41875428985242,,0.08815342766631554,,,,,,,,14.0,2025-08-14T10:34:48,,,,,,,,5.0,5.577441487940209,0.03394597858579884,1.3948405344936798,1136.0
XGBoost,1116.9188197860942,28.843158183686302,,0.023877914133158054,,,,,,,,1.0,2025-08-14T10:08:52,3.0,2.547638081431639,0.9255180078827795,0.8738924690215517,0.13009355147591303,1.093112621392611,0.822537242923169,,,,,
CatBoost,1118.2345800515488,33.587340758633616,,0.05288662648246471,,,,,,,,15.0,2025-08-14T10:34:48,,,,,,,,4.0,3.770890012578967,0.6514203883518642,1.6594836074144033,2622.0
CatBoost,1119.0566606750738,35.03701551387041,,0.05719243115223331,,,,,,,,16.0,2025-08-14T10:34:48,,,,,,,,4.0,2.9865905772879895,0.4267889053367494,1.5995640441485388,2341.0
CatBoost,1120.0192339455812,33.00303806147266,,0.11306331400340126,,,,,,,,17.0,2025-08-14T10:34:48,,,,,,,,4.0,3.266444173740138,0.52439026932758,0.8815254938764563,1113.0
CatBoost,1120.8702517228298,32.33844050381209,,0.06479711795357035,,,,,,,,18.0,2025-08-14T10:34:48,,,,,,,,6.0,2.353723365717769,0.6439995432390158,0.8174683421961928,1086.0
CatBoost,1125.9512059225742,35.13840594319032,,0.07089568055628633,,,,,,,,19.0,2025-08-14T10:34:48,,,,,,,,4.0,4.682221178123614,0.9343670147690148,1.8511370258135527,2430.0
LightGBM,1128.0988426537674,31.843500561701457,2363.0,0.048923055923121406,90.0,191.0,0.798070764044508,0.6137554084460873,1.0,0.31284848605859267,0.2186833053456748,4.0,2025-08-14T09:54:25,,,,,,,,,,,,
LightGBM,1128.1535517837278,31.872524618062215,1317.0,0.04665293725648763,81.0,191.0,0.6976502088991097,0.6673164168691722,0.0,0.3230689368464327,0.07787069653077787,5.0,2025-08-14T09:54:25,,,,,,,,,,,,
CatBoost,1130.381284191978,32.66268959567274,,0.07817340405804153,,,,,,,,20.0,2025-08-14T10:34:48,,,,,,,,4.0,3.562288279409608,0.7416869442286655,1.3976917063218088,2304.0
CatBoost,1132.3935626605773,35.36334845716001,,0.08680659017400393,,,,,,,,21.0,2025-08-14T10:34:48,,,,,,,,4.0,4.604065481552533,0.8053149673579051,1.9774575639108856,2311.0
CatBoost,1132.7364477339654,31.39078238612219,,0.09179432699217856,,,,,,,,22.0,2025-08-14T10:34:48,,,,,,,,6.0,3.2984075638056556,0.07593341036962209,0.15553068815791415,1107.0
XGBoost,1133.3817007293214,28.709321078402994,,0.03820098556793014,,,,,,,,2.0,2025-08-14T10:08:52,3.0,4.534902306217296,0.9114287756203004,0.6572511942193878,0.16363567453557062,0.8568768986683369,0.49398148713086265,,,,,
CatBoost,1135.3071909767118,31.682102523126332,,0.05267687918232428,,,,,,,,23.0,2025-08-14T10:34:48,,,,,,,,5.0,1.0919533827373336,0.914298806560499,0.23550216578028227,2379.0
XGBoost,1135.4003611140809,27.173851466323644,,0.03764881771148455,,,,,,,,3.0,2025-08-14T10:08:52,3.0,3.460581465397691,0.7032977553195834,0.7836543024953045,0.7840260602283817,0.5911417127914435,0.3287516102875082,,,,,
CatBoost,1135.6161996168767,25.211145712417064,,0.042882526479639985,,,,,,,,24.0,2025-08-14T10:34:48,,,,,,,,9.0,1.1827483392404745,0.47206694510999925,1.1296822665252328,1017.0
LightGBM,1136.0887134977058,30.70616876537944,2955.0,0.02199053947134274,97.0,166.0,0.7394663949166917,0.6384706204365683,0.0,0.5527501904819728,0.4640824155606449,6.0,2025-08-14T09:54:25,,,,,,,,,,,,
CatBoost,1136.1832150312382,32.03147572941428,,0.06148351922047034,,,,,,,,25.0,2025-08-14T10:34:48,,,,,,,,6.0,1.9079885840071285,0.9084505613336283,1.166783589532241,1711.0
LightGBM,1137.2118542378628,31.552723299001833,2039.0,0.028468249688051582,32.0,147.0,0.8545614389784044,0.9203797178729599,1.0,0.45869363333754665,0.15420042388069222,7.0,2025-08-14T09:54:25,,,,,,,,,,,,
LightGBM,1139.4843879772511,30.550841492174943,1835.0,0.02970239915992583,86.0,142.0,0.6968639753109703,0.9212559025519583,0.0,0.5058446644748636,0.7602356529130736,8.0,2025-08-14T09:54:25,,,,,,,,,,,,
XGBoost,1141.1660123466731,29.74245303302666,,0.04129274525356674,,,,,,,,4.0,2025-08-14T10:08:52,3.0,3.8426014187497914,0.8303698301032338,0.892659102119856,0.10215178353797248,0.3000197390593256,0.5805440123439098,,,,,
XGBoost,1142.4129184169174,26.612217026436163,,0.04460543942078299,,,,,,,,5.0,2025-08-14T10:08:52,3.0,5.770255136293612,0.842469853780352,0.6914571222013851,0.5373605475246854,0.741753888549475,0.3581627180328405,,,,,
CatBoost,1142.4825433454084,30.761856322184386,,0.09206202325203841,,,,,,,,26.0,2025-08-14T10:34:48,,,,,,,,5.0,4.325183372731278,0.1753712786234496,1.8288238918499196,1921.0
LightGBM,1143.5251828948428,31.11822282663649,1087.0,0.060045033336682624,54.0,150.0,0.608233797718321,0.9879639408647978,1.0,0.16987128854262093,0.21818996064852073,9.0,2025-08-14T09:54:25,,,,,,,,,,,,
LightGBM,1143.6576931703298,30.34831749800351,1020.0,0.07405991023634516,48.0,151.0,0.9768807022739411,0.8253152871382157,1.0,0.24369101533869655,0.11720653680766063,10.0,2025-08-14T09:54:25,,,,,,,,,,,,
XGBoost,1145.1020509543873,29.02397253599947,,0.04182561012789738,,,,,,,,6.0,2025-08-14T10:08:52,3.0,5.483942049530059,0.7895846561051489,0.8670230954084108,0.13785589696130388,0.2307468225704049,0.04086861626647886,,,,,
CatBoost,1145.7999144826777,29.954804899558955,,0.07426615290677686,,,,,,,,27.0,2025-08-14T10:34:48,,,,,,,,6.0,2.12302411469991,0.4524395161326934,0.2817140407595997,1663.0
CatBoost,1147.4298463096545,28.720964306825557,,0.06022366899750811,,,,,,,,28.0,2025-08-14T10:34:48,,,,,,,,8.0,5.014267242990057,0.004632023004602859,0.6669983433822884,1574.0
CatBoost,1147.4779187710221,33.44069630733925,,0.13545185429169412,,,,,,,,29.0,2025-08-14T10:34:48,,,,,,,,6.0,4.95006779395928,0.6905602324456406,1.0426013348271388,1011.0
